f,a1,a2,t1,t2
0.283,0.0156,0.0053,0.4816,0.1862
0.284,0.0157,0.0054,0.4816,0.1858
0.285,0.0158,0.0054,0.4816,0.1854
0.286,0.0159,0.0055,0.4811,0.1889
0.287,0.016,0.0056,0.4811,0.1846
0.288,0.0161,0.0056,0.4811,0.18
0.289,0.0162,0.0057,0.4811,0.1788
0.29,0.0163,0.0058,0.4811,0.1727
0.291,0.0164,0.0058,0.4811,0.1723
0.292,0.0165,0.0059,0.4811,0.1755
0.293,0.0165,0.0059,0.4805,0.1753
0.294,0.0166,0.0059,0.4805,0.1749
0.295,0.0166,0.006,0.4805,0.1747
0.296,0.0167,0.006,0.4805,0.1743
0.297,0.0167,0.006,0.4805,0.174
0.298,0.0167,0.0061,0.4805,0.1738
0.299,0.0168,0.0061,0.4805,0.1736
0.3,0.0168,0.0061,0.4805,0.1732
0.301,0.0168,0.0061,0.4805,0.173
0.302,0.0168,0.0061,0.4805,0.1728
0.303,0.0168,0.0061,0.4805,0.1726
0.304,0.0168,0.0061,0.4805,0.1723
0.305,0.0168,0.0061,0.4805,0.1721
0.306,0.0167,0.006,0.4805,0.1681
0.307,0.0167,0.006,0.4805,0.1645
0.308,0.0167,0.006,0.4805,0.1643
0.309,0.0166,0.0059,0.4805,0.1641
0.31,0.0166,0.0059,0.4811,0.1639
0.311,0.0165,0.0059,0.4811,0.1671
0.312,0.0164,0.0058,0.4811,0.1669
0.313,0.0164,0.0058,0.4811,0.1665
0.314,0.0163,0.0057,0.4811,0.1662
0.315,0.0162,0.0056,0.4811,0.166
0.316,0.0161,0.0056,0.4816,0.1658
0.317,0.016,0.0055,0.4816,0.1656
0.318,0.0159,0.0054,0.4816,0.1652
0.319,0.0158,0.0054,0.4816,0.165
0.32,0.0157,0.0053,0.4821,0.1614
0.321,0.0155,0.0052,0.4821,0.161
0.322,0.0154,0.0051,0.4821,0.1576
0.323,0.0153,0.005,0.4826,0.1572
0.324,0.0151,0.0049,0.4826,0.1537
0.325,0.0151,0.0048,0.4826,0.1504
0.326,0.0152,0.0047,0.4832,0.1529
0.327,0.0152,0.0046,0.4832,0.1494
0.328,0.0152,0.0045,0.4832,0.1485
0.329,0.0152,0.0046,0.4837,0.1374
0.33,0.0152,0.0047,0.4837,0.137
0.331,0.0153,0.0048,0.4837,0.1394
0.332,0.0153,0.0049,0.4842,0.139
0.333,0.0153,0.005,0.4842,0.1388
0.334,0.0153,0.0051,0.4842,0.1412
0.335,0.0153,0.0052,0.4842,0.141
0.336,0.0153,0.0053,0.4847,0.1408
0.337,0.0153,0.0054,0.4847,0.1406
0.338,0.0152,0.0054,0.4847,0.1404
0.339,0.0152,0.0055,0.4853,0.1402
0.34,0.0152,0.0056,0.4853,0.14
0.341,0.0152,0.0056,0.4853,0.1398
0.342,0.0154,0.0057,0.4853,0.1396
0.343,0.0155,0.0057,0.4853,0.1394
0.344,0.0156,0.0057,0.4858,0.1392
0.345,0.0157,0.0057,0.4858,0.139
0.346,0.0157,0.0058,0.4858,0.1388
0.347,0.0158,0.0058,0.4858,0.1386
0.348,0.0159,0.0059,0.4858,0.1384
0.349,0.0159,0.0059,0.4858,0.1469
0.35,0.016,0.0059,0.4858,0.1467
0.351,0.016,0.0059,0.4858,0.1465
0.352,0.016,0.006,0.4858,0.1494
0.353,0.0161,0.006,0.4858,0.1491
0.354,0.0161,0.006,0.4858,0.1489
0.355,0.0161,0.006,0.4858,0.1489
0.356,0.0161,0.006,0.4858,0.2056
0.357,0.0161,0.006,0.4858,0.2048
0.358,0.0161,0.006,0.4858,0.2128
0.359,0.016,0.006,0.4858,0.2115
0.36,0.016,0.0059,0.4858,0.2144
0.361,0.0159,0.0059,0.4858,0.2122
0.362,0.0159,0.0059,0.4853,0.2107
0.363,0.0158,0.0059,0.4853,0.2098
0.364,0.0158,0.0058,0.4853,0.2089
0.365,0.0157,0.0058,0.4853,0.2082
0.366,0.0156,0.0057,0.4853,0.2078
0.367,0.0155,0.0057,0.4847,0.2073
0.368,0.0154,0.0056,0.4847,0.2069
0.369,0.0153,0.0056,0.4847,0.2064
0.37,0.0152,0.0056,0.4847,0.206
0.371,0.0151,0.0057,0.4842,0.2056
0.372,0.0149,0.0057,0.4842,0.2053
0.373,0.0148,0.0057,0.4842,0.2049
0.374,0.0146,0.0057,0.4842,0.2047
0.375,0.0145,0.0057,0.4837,0.2042
0.376,0.0145,0.0057,0.4837,0.204
0.377,0.0146,0.0057,0.4837,0.2082
0.378,0.0147,0.0056,0.4832,0.208
0.379,0.0147,0.0056,0.4832,0.2029
0.38,0.0148,0.0056,0.4832,0.2073
0.381,0.0148,0.0056,0.4826,0.207
0.382,0.0148,0.0056,0.4826,0.2066
0.383,0.0149,0.0056,0.4826,0.2064
0.384,0.0149,0.0056,0.4826,0.2059
0.385,0.0149,0.0056,0.4821,0.2011
0.386,0.0149,0.0057,0.4821,0.2009
0.387,0.015,0.0056,0.4821,0.2004
0.388,0.015,0.0056,0.4816,0.1959
0.389,0.015,0.0056,0.4816,0.1954
0.39,0.015,0.0056,0.5083,0.1911
0.391,0.015,0.0056,0.5078,0.1906
0.392,0.015,0.0056,0.5078,0.1862
0.393,0.0149,0.0056,0.5078,0.1822
0.394,0.015,0.0057,0.5078,0.1818
0.395,0.015,0.0057,0.5072,0.1852
0.396,0.0151,0.0057,0.5072,0.181
0.397,0.0151,0.0057,0.5072,0.177
0.398,0.0152,0.0058,0.5072,0.1766
0.399,0.0152,0.0058,0.5067,0.176
0.4,0.0152,0.0058,0.5067,0.1754
0.401,0.0152,0.0058,0.5067,0.1746
0.402,0.0152,0.0058,0.5067,0.1808
0.403,0.0152,0.0058,0.5067,0.1874
0.404,0.0151,0.0058,0.5061,0.1898
0.405,0.0151,0.0058,0.5061,0.1884
0.406,0.015,0.0058,0.5061,0.1835
0.407,0.015,0.0058,0.5061,0.1826
0.408,0.0149,0.0058,0.5061,0.182
0.409,0.0149,0.0059,0.5061,0.1815
0.41,0.0148,0.0059,0.5061,0.1851
0.411,0.0147,0.0059,0.5061,0.1889
0.412,0.0146,0.0059,0.5061,0.1884
0.413,0.0145,0.0059,0.5061,0.188
0.414,0.0144,0.0059,0.5061,0.1877
0.415,0.0144,0.0058,0.5061,0.1873
0.416,0.0144,0.0058,0.5061,0.187
0.417,0.0143,0.0058,0.5061,0.1868
0.418,0.0142,0.0058,0.5061,0.1864
0.419,0.0141,0.0057,0.5067,0.1861
0.42,0.014,0.0057,0.5067,0.1859
0.421,0.014,0.0057,0.5067,0.1855
0.422,0.0141,0.0056,0.5067,0.1852
0.423,0.0142,0.0056,0.5072,0.1893
0.424,0.0142,0.0055,0.5072,0.1891
0.425,0.0143,0.0054,0.5072,0.1888
0.426,0.0144,0.0054,0.5078,0.1843
0.427,0.0144,0.0054,0.5078,0.1839
0.428,0.0145,0.0053,0.5083,0.1836
0.429,0.0145,0.0053,0.5083,0.1834
0.43,0.0146,0.0054,0.5089,0.1832
0.431,0.0146,0.0054,0.5089,0.183
0.432,0.0146,0.0054,0.5094,0.1827
0.433,0.0147,0.0055,0.5094,0.1825
0.434,0.0147,0.0055,0.51,0.1823
0.435,0.0147,0.0055,0.51,0.1818
0.436,0.0147,0.0055,0.5106,0.1816
0.437,0.0147,0.0055,0.5106,0.1814
0.438,0.0147,0.0056,0.5111,0.1811
0.439,0.0147,0.0056,0.5111,0.1809
0.44,0.0146,0.0056,0.5117,0.1807
